MDS1,MDS2,MDS3
7.386594542098937,2.816947757416328,4.655614919421395
8.995092806271625,4.670058240358053,8.744990257380321
9.552416361409733,5.1428819111107815,8.712936364451783
8.808289408355895,4.330962746893107,5.136073624278313
8.964665253894665,3.5806811511441605,1.710291652398154
10.932153017225048,3.014083301165529,-1.9334359549541529
12.005137612385468,1.2350101142378769,-2.9854139373518485
12.06186762601085,-1.198060448232894,-1.7450417025434688
10.844704529576958,-4.687011005940324,0.13803582898550174
7.521531545156708,-8.342786632511208,0.8110737554181381
3.4537177184425607,-11.47192674227239,-0.28837589516822065
-1.0635031857477453,-13.156113576153096,-3.569036945970853
-4.272641330452687,-11.355846586374753,-6.22407788362826
-5.436645369782425,-6.966061575012496,-6.903206329986309
-6.054390135895965,-2.541057592949706,-6.227291070877482
-7.871125912713883,0.09164922055424427,-6.097124707162669
-10.558066257886296,1.1253913868602912,-6.359436406913638
-11.991516149308879,0.12172496675742006,-5.844870574615538
-10.220863322212615,-1.4620667037044994,-3.8174608074074854
-5.711969955391736,-2.2504414294805675,-2.1807654018508593
-2.11001168202611,-2.9191272105243677,-1.2209432600161514
-0.6941722041051861,-4.836004636035537,-1.4020418333682392
-1.543038626803554,-6.525776224739126,-2.382873470209482
-3.521710881722506,-5.9987631581578444,-1.6434633015863733
-4.426691882298865,-4.1502893212371,0.12265371275091942
-4.49636469863936,-2.354553841729741,1.6188960337198013
-4.781834963305153,-0.7544539162038543,4.038519420243896
-4.887772479556303,1.6917877212377592,5.886322142483637
-5.275255476705893,3.624225611270325,2.4369324688235703
-5.997362913584218,2.8363099640581164,-0.9757535485736173
-7.5422833769626765,1.4322343426086837,-2.425801713125155
-7.15135370026423,-0.47483409730839954,-1.4386235850272286
-3.2561245688798266,-0.36205020655959375,1.4584046174617782
-0.46883095412269415,0.9316018773455729,4.392981727975748
1.3221913401715097,5.036991862623133,7.463429476173494
1.9194804851726768,8.950912110072926,5.72404218773572
1.1777718636416015,9.084704985928349,2.013788030505495
0.729701080453607,7.806867282393806,0.1954204535782102
1.562440048603926,6.966365429699089,0.10965886884017306
3.836330351436856,6.000913573873537,2.3428889674816182
6.027756117716385,3.8400032318438053,5.158053097611205
7.471863162223116,2.018359163949766,5.819192989839288
7.950408728619838,0.37235665757956876,5.45486400962418
7.743291336062752,-1.4903066937749148,5.236991746170834
6.941993807187693,-3.602226440574208,5.1015010230965565
5.4145911431721245,-4.926728970904848,4.89826187087024
3.7262510779382256,-5.505492662454501,5.037101844875739
2.2649077259002786,-5.759670443396553,5.084016975206025
